Comentário;Sentimento
Falta respeito, comunicação em canais internos, sempre com cobranças abusivas, Alta rotatividade do time de tecnologia, mudança de estratégia constante. Alta direção da área de operações tem comunicação agressiva e as vezes até discriminatória. Pouco reconhecimento. Muita pressão, muitos erros em implementações.... O processo de saída  homologação com erros e necessidade de correção de valores.;negativo
VR/VA é realmente muito bom;positivo
Progressão de carreira está cada vez mais difícil dentro da empresa;negativo
Home office, benefícios incríveis, ambiente de trabalho respeitoso, ótimas ferramentas de trabalho e muito espaço para dar ideias e desenvolvimento.;positivo
Um pouco bagunçado as vezes pq tudo muda muito rápido, pode ser bem cansativo se vc não for firme em organizar sua rotina para não se sobrecarregar, muitas reuniões.;negativo
 Muitas oportunidades de aprendizados  Nível alto de abstração tecnológica  Muito estruturada para Home Office;positivo
 Não tenho nenhum para apontar;negativo
Bons benefícios e valores de benefícios. Paga em dia. Horário flexível. Pessoas muito tranquilas. Liberdade para negociar ausências e atrasos. Raramente é necessário fazer hora extra.;positivo
"Time de ""People"" promete muito e não cumpre o que promete em alguns casos. PLR e avaliações pessoais são temas ""elefante branco"". A empresa prega a comunicação aberta mas esconde informações sobre PLR e sobre méritos e promoções. Não existe programa para avaliação profissional e, conseguentemente, raramente existe promoção por mérito, a menos que estejam precisando de alguém para determinada função.";negativo
Um pouco melhor do que estar desempregado(a).;positivo
"Ambiente caótico, falta de estruturação de processos, pressão desnecessária, ausência de documentação sólida sobre produtos e ferramentas, falta de clareza nas atividades, má gestão de equipes e comunicação, liderança desorganizada e falta de uma estratégia clara para alcançar os objetivos. Avaliações de desempenho e planos de desenvolvimento individual não existem, informações sobre Participação nos Lucros e Resultados (PLR) e promoções são inexistentes. Pregam o conceito de ""anywhere office"", mas oferecem suporte insatisfatório. A cultura predominante é a cultura do incêndio mesmo, onde tudo é tratado de forma reativa.";negativo
Muita liberdade e autonomia. Bons benefícios. Ambiente leve;positivo
Salário um pouco abaixo do mercado. Entregas mudam muito de prioridade.;negativo
O time como um todo é muito empenhado em fazer tudo com excelência e te acolhe de maneira muito próxima. Obs.: oferece um excelente pacote de benefícios.;positivo
Tudo é muito dinâmico então algumas vezes pode parecer que as coisas estão um pouco bagunçadas.;negativo
Empresa tem uma remuneração compatível com mercado e pacote de benefícios ok. Destaque para Vale alimentação/ refeição com valor justo e flexível.;positivo
 Demora grande em proporcionar promoções e reconhecimento de mérito.  Falta de transparência da gestão em relação à estratégias de negócio e ao estado financeiro da companhia.  Desorganizada  Pagam plano mas ficam te dizendo que vc não deve usar pra não gastar.  Mudanças constantes em toda a estrutura com falta de planejamento, sem dar tempo para que sejam gerados resultados e gerando insegurança no time.  Cultura é da boca pra fora, hoje você não vê os times focados de verdade em viver os sonhos dos clientes e nem em ir além.  Discurso de ser uma empresa costumer centric é total da boca pra fora também, não valorizam as áreas que se propõem a pensar e melhorar experiência dos clientes. Só valorizam engenharia.  Time de produtos muito tecnico e em muitas áreas sem contexto de negócios  Não paga VR/VA nas férias.  Constantemente fazem promessas para os funcionários que depois não são cumpridas.;negativo
Cultura de feedback. Anywhere office. Possibilidade de crescimento e migração de área. Participação nos lucros da empresa.;positivo
Mudanças. Pressão. As vezes excesso de trabalho.;negativo
Ambiente de trabalho favorável ao desenvolvimento de suas ideias e ótimos benefícios.;positivo
Evolução de promoção sem muita clareza.;negativo
Bons benefícios horários flexíveis Paga relativamente bem;positivo
Muito volume de trabalho Times difíceis de lidar Falta de organização para algumas coisas;negativo
A Dock te proporciona bastante conhecimento, pois algumas aplicações trabalham com tecnologias atuais, o que te faz utilizar ferramentas atuais do mercado. É uma ótima empresa para aprender pois tem muita gente boa, e a troca de conhecimento ajuda muito. Os benefícios como o VR/VA é ok, já trabalhei em empresas que pagavam mais, mas entendo que o que a Dock paga está dentro do que o mercado anda pagando. Bom plano de saúde, bons cursos em algumas plataformas. O fato de ser totalmente home office entendo ser maravilhoso pois HOJE isso é diferencial em vagas.;positivo
A regra de PLR/Bônus não é clara, quando fiz a minha entrevista com o time de people na época que estava no processo seletivo mencionaram que existia PLR definida de até 3 salários.. já faz praticamente 1 ano que tenho de empresa e ainda estão discutindo política de bônus, se é que vamos ter. Outra coisa, vejo que a Dock não sabe trabalhar com perspectiva de crescimento dos funcionários, não existe critério para promoção ou mérito ou muito menos se fala sobre (pelo menos na área em que trabalho), o resultado das avaliações foram boas, mas nada se fala a respeito. E por último, é a cultura do incêndio... de fato o que a Dock faz nenhuma empresa faz no mundo, entretanto, vejo que o problema disso é a arte de tentar fazer tudo ao mesmo tempo, gera caos e um ambiente onde tudo é resolvido na base de apagar fogo.;negativo
Caju com um valor muito bom Gympass/Totalpass Zenklub (apenas com duas sessões custeadas mas ok!);positivo
O que grande maioria das pessoas já sabem, principalmente um dos motivos para que muita gente saia da empresa: Falta de reconhecimento! Já vi outros comentários por aqui sobre e irei concordar, uma panelinha total! Se você não é íntimo (ou a palavra CHUCRA mesmo: Puxa Saco) você não terá reconhecimento algum. Lideranças totalmente despreparadas e egocêntricas, terceirizando sua própria função de gestão de pessoas que deixam os subordinados a mercê, zero suporte. Até porque, caindo dinheiro no bolso é o que importa não é mesmo? Desde a fusão da empresa, vivemos em um ambiente caótico, pregando uma cultura de Anywhereoffice onde não investem nem em um suporte decente, problemas recorrentes com acesso e resoluções que se alastram em semanas. Sem falar na palestra do ano inteiro sobre que não ia ter layoff, que estava tudo mil maravilhas e BOOM! 200 pessoas desligadas e muita gente que não faz nada ficando.;negativo
Empresa com ótimos benefícios e bons salários. Caso você ou algum membro da família tenha problemas de saúde eles te dão o maior apoio em todos os momentos;positivo
No primeiro espirro do mercado eles não pensam duas vezes em fazer demissões em massa. São os primeiros que puxam a fila. Não avaliam se o candidato a demissão tem outras experiências que poderiam ajudar em outros projetos. Depois de um mês após a minha demissão eu os vi postando vagas a quais eu poderia muito bem estar trabalhando.;negativo
Salario, Beneficios são bons para o funcionario.;positivo
Disponíbilidade e oportunidade de crescimento são ruins;negativo
beneficios e salarios são excelente não tive do que reclamar.;positivo
troca de gestão e coordenação com frequência e muita desorganização na liderança.;negativo
Flexibilidade de horário, bons relacionamentos, atualizações constantes.;positivo
Mudanças de prioridades de forma repentina, desorganização nos processos;negativo
Empresa te dará muitas oportunidades de aprendizado;positivo
Média gerência e alta gerência despreparada. Salário abaixo do mercado.;negativo
Os benefícios são muito bons para paes e mães, para saúde também e os salários são bem interessantes. O modelo de trabalho anywhere office também é bem legal.;positivo
cultura e falta de orientação dos Clevel;negativo
Liberdade, Home office, Autonomia, Customer centric;positivo
Demandas excessivas, Hora extra, Estruturas sem gestão de pessoas;negativo
"Empresa em constante mudança, você sempre está aprendendo algo novo; Empresa sem paredes, você fala com um estagiário ou com o CEO sem qualquer tipo de barreira;";positivo
"Sempre estamos em WR desnecessárias; Sempre temos medidas extremas que foram tomadas de forma repentina e impactam negócios de clientes; Não temos OKRs bem definidos;";negativo
Benefício de assistência psicológica, gympass e total pass, day off no aniversário.;positivo
O plano de cargos e carreiras mudou, e não temos muito bem claro o que fazer para subir de cargo.;negativo
Salário competitivo Bons benefícios Liderança engajada;positivo
Bônus malestruturado Avaliação de performance malestruturada;negativo
A empresa é muito inclusiva e à favor da diversidade. O que ela fala sobre pessoas ela faz! Muitos benefícios, flexibilidade de trabalho através do anywhere office. Pessoas muito dedicadas, colaborativas e autogerenciáveis;positivo
"Cresceu rápido em pouco tempo, falta de processos, intensas mudanças de BUs e de Gestores, algumas atividades são bem burocráticas, dificil achar uma documentação ou alguém responsável por alguma atividade (pois as pessoas não possuem o histórico). Falta planejamento de carreira, visão de longo prazo para os produtos que foram desenvolvidos. Elevadíssimo turnover, pessoas de 01 ano são consideradas ""veteranas"".";negativo
Empresa em crescimento com muitas oportunidades;positivo
Falta organização e melhor direcionamento;negativo
Salário competitivo e de acordo com o mercado.;positivo
Sem contras, visto que o salário atende as expectativas.;negativo
Grupo de trabalho sensacional, Gerencia muito boa, trabalho totalmente remoto.;positivo
Não tenho contras. empresa muito boa.;negativo
Liberdade para ser vc mesmo;positivo
Nada a declarar até o momento;negativo
 Suporte da liderança  Autonomia  Incentivo a inovação Trabalho remoto  Empresa em crescimento;positivo
 Processos em estruturação e constante mudança  Processo de performance e desempenho desestruturado  Ausência de clareza para méritos e promoções  Processo do RH em reestreuturação;negativo
Bons benefícios Anywhere office Relativa flexibilidade;positivo
Desorganizada Sem plano de cargo e carreira claro Fez um layoff de 200 pessoas incluindo o setor inteiro de design;negativo
Ótima cultura para trabalhar, home office, bom salário.;positivo
Excesso de carga de trabalho, pouco reconhecimento.;negativo
Inovadora em tecnologia, home office, salario compatível;positivo
Não me dei chance de crescimento;negativo
Pacote de benefícios muito bom. Trabalha com tecnologias atuais. Times multi disciplinados;positivo
Alguns problemas de organização do time Comunicação nem sempre é feita da melhor maneira;negativo
Empresa excelente para o colaborador Liderança excelente e ambiente saudavel. Remuneração compativel ao mercado;positivo
Empresa em expansão e peca em organização;negativo
Muitos benefícios, acima do mercado.;positivo
Crescimento de carreira nebuloso e cobranças excessivas devido aos rumos da empresa que mudam a todo momento;negativo
Empresa excelente, total cuidado com seus funcionarios;positivo
Nenhum, a empresa é bem transparente;negativo
100% home office e Brindes inventivos;positivo
"Liderança no fundo nao sabe qual a estratégia adotar pra chegar nos objetivos. Ao invés de delegar, querem delargar. A empresa passou por cortes e mesmo assim, ninguém da Liderança foi impactado, mesmo eles sendo os principais responsáveis pelas tomadas de decisão. Ainda bem que saí antes do """""" lay off """"""";negativo
Possui ótimos benefícios Home Office;positivo
Uma bagunça Tudo muda muito rápido de uma forma negativa Não possuem clareza das atividades;negativo
ultimamente está difícil de encontrar;positivo
não acredite que a dock vá pagar PLR... enrolam todo ano o pagamento é mudam as regras depois de informado. RH caiu muito de qualidade desde a alteração de gestão;negativo
Empresa muito democrática, com grandes chances para quem quer se destacar.;positivo
Nenuhm até o momento, honestamente.;negativo
"Benefícios; Ambiente propício a aprendizagem; Ambiente descontraído entre os pares; Empresa se tornando global";positivo
"Dependendo da gestão, você sofre assédio moral constantemente; Prometem PLR e reconhecimento na base da meritocracia, porém não é bem assim. Se você não fizer parte de alguma ""panela"", serão raros os seus reconhecimentos; Algumas vezes falta informação, principalmente quando se remete a PLR e notas da avaliação de desempenho; Empresa cresceu muito rápido com as unificações e aquisições recentes, isso deixa diferenças dos benefícios e salários entre pessoas com mesma função e times. Existem pessoas há mais de um ano fazendo a mesma coisa que outras, mas com salários bem abaixo simplesmente por serem de alguma empresa diferente na época da contratação; Quando há uma transferencia interna de posição, demora muito para ajustar o novo cargo e adequar o salário de acordo com a nova posição;";negativo
Salário e benefícios acima da média do mercado, time integrado que apoiam uns aos outros.;positivo
"Muitas mudanças de rumo em prazos curtíssimos, que deixam os times sem direção; colocam muita expectativa em relação aos bônus, mas não avisam que os bônus estão atrelados ao sistema de feedback e avaliação que ninguém entende, fora as poucas oportunidades de crescer lá dentro.";negativo
Beneficios Ambiente Inclusão Respeito Reconhecimento;positivo
Evolução de Cargo e Salário;negativo
Bom ambiente de trabalho Dinâmico Boas oportunidades de crescimento;positivo
Processos internos ainda precisando ser melhores desenvolvidos;negativo
Flexibilidade de horário Bons benefícios Salário condizente com o mercado;positivo
Clareza no processo do PLR.;negativo
Empresa perfeita! Não há o que reclamar;positivo
Infelizmente houve um lay off e muitos acabaram sendo cortados sem aviso prévio;negativo
Pude encontrar bons profissionais em um ambiente que nao incentivava isso;positivo
Empresa sugeria que funcionários que trabalharam ate madrugada, por exemplo 4 hrs da manhã, a não baterem o ponto as 8 algo que geraria problemas trabalhistas. Era sugerido lancar as horas extras em outros horarios e manter a aparencia de uma jornada das 8 as 17. Isso acontecia com regularidade na unidade connect, antida market pay;negativo
Ambiente propício para crescimento (desafio) Desenvolvimento incomensurável pelas oportunidades de inovação Pacote de benefícios atrativo;positivo
Gestão não preparada para o cargo Gestão sem visão de futuro Gestão não promove melhoria, equilibra a régua técnica do time para baixo invés de melhorar como um todo Comunicação deficiente entre Diretoria Cultura da empresa adversa aos valores pregados;negativo
Salário compatível, bons benefícios, trabalho remoto;positivo
Muita conversa de cultura, organização mas sem ações efetivas. CEO fala uma coisa e a empresa faz outra. A exemplo do layoff realizado, onde foi informado que a empresa estava estável e que não era da cultura fazer. Todos despreocupados e planejando o ano seguinte e do nada um grande layoff e no mês seguinte as vagas em aberto.;negativo
Ambiente e Culturas modernas e acolhedoras;positivo
Falta de planejamento e má gestão de equipes;negativo
Ambiente muito acolhedor com pessoas dispostas a trabalhar em equipe e com boa vontade em ajudar.;positivo
Pouca visibilidade sobre as oportunidades de crescimento.;negativo
Boa empresa e ambiente colaborativo;positivo
Pouco feedback dado pelos líderes;negativo
Muito bons benefícios na teoria;positivo
Benefícios não recebidos na prática;negativo
Empresa com bom salário e humana.;positivo
Nao tenho nada a dizer sobre a empresa;negativo
Flexibilidade, alta possibilidade de aprendizado. Bons benefícios;positivo
Alta carga de demanda e acumulo de função;negativo
Anywhere office, com todo suporte aos materiais de trabalho e auxílio para montar sua própria estação de trabalho. Empresa em crescimento e com várias oportunidades de crescimento interno também. Trabalham tanto com tecnologias muito antigas até as mais atuais, dando também um mínimo direcionamento de mercado de trabalho.;positivo
"Dependendo de qual estrutura você atuar, a abordagem será bem desrespeitosa e sem empatia nenhuma. Exigindo uma carga de horário além do ""normal"" e com a obrigação de estar 24hs online para qualquer tipo de problema. Os plantões e escalas não funcionam muito bem pois todo dia tem acionamento, o que dificulta muito ter qualidade de vida aqui. O processo novo de avaliação é muito injusto e você só é promovido ou recebe aumento se tem quem gosta de você de forma pessoal. O lado profissional é desconsiderado nas avaliações.";negativo
Um pouco melhor que estar desempregado;positivo
Além do salário estar bem abaixo das médias para empresas de mesmo porte, ainda existe uma total insegurança quanto a estar empregado, já que por causa dos layoffs inesperados, a organização que já era péssima, fica ainda pior com a demissão de grande parte do time de produtos. Além disso não existe meritocracia dentro da empresa, você pode trabalhar que nem um condenado e entregar o que 10 devs do seu nível entregam que vai continuar ganhando menos que os devs que entram agora (pq a correção do salário é feita anualmente com índices que não chegam a 1/3 da inflação real).;negativo
Empresa olha para colaboradores com uma visão humanizada, se preocupa com o bem estar das pessoas dentro da empresa. Além de estar em constante crescimento;positivo
É uma empresa que está se reestruturado então pode ter processos a serem melhorados;negativo
 Ótimos desafios  Empresa com alto potencial de crescimento  Valorização do profissional  Bom pacote de benefícios e salário;positivo
 Dores do crescimento, como desorganização em alguns momentos;negativo
Possibilidade de crescimento e pessoas com mente aberta para evoluir;positivo
Falta de transparência por parte da diretoria, foi falado o ano inteiro que não faria layoff, que estávamos super bem e no final o discurso não correspondeu a realidade.;negativo
Apoio familiar e psicológico, promoção de carreira viável, ótima estrutura de trabalho e bons benefícios.;positivo
Devido ao tipo do mercado, muitas vezes é necessário horas extras e trabalho fora do horário comum.;negativo
Salário OK (nada espetacular mas ok), benefícios excelentes como convênio médico, VR bandeira Visa, Gympass e Totalpass.;positivo
"Depois que a empresa tornouse unicórnio, as coisas começaram a mudar (para pior). Cortes e mais cortes, pressão geral nos funcionários, clima meio estranho, áreas sendo desmontadas. Vendem uma cultura supostamente ""good vibes"" e de inclusão, mas o discurso é um e a prática é outra. Na prática é totalmente o oposto. Mas o pior são algumas lideranças que são compostas por pessoas completamente despreparadas, muita mentira e fofoquinhas. Só cresce na empresa quem faz parte das panelinhas.";negativo
É uma empresa muito boa pra crescer técnicamente e ter liberdade de escolhas, a equipe é sempre unida e buscam ensinar e aprender entre si.;positivo
quando se trata de equipes terceiras como infra a demanda e solução pode se tornar uma dor de cabeça e demorada.;negativo
Salário, benefícios, plano de carreira, cultura e valores.;positivo
Mudanças estruturais que acabam impactando negativamente o ciclo da empresa.;negativo
Hoje o único ponto positivo são algumas poucas pessoas que ainda possuem a cultura da antiga Dock. Antes da fusão. A fusão acabou com a Dock, juntamente com a saída do antigo CEO, o Fred, que era a alma da Dock até final de 2021;positivo
Empresa prega uma empresa que não existe. Não existe transparência. Entrou muitos colaboradores novos que são amigos de diretor, sem passar por processo de entrevista e com salários muito maiores que os outros que já estavam na empresa com o mesmo nível.;negativo
Bons benefícios que a empresa disponibiliza;positivo
Nada a dizer sobre a empresa;negativo
Empresa que presa muito pelo conforto do funcionário oferecendo muitos benefícios úteis de fato, como coworking em todo o Brasil, aumentaram o tempo de licença paternidade para 6 meses e afins, e também muita autonomia na hora do trabalho.;positivo
Muita burocracia/falta de espaço para crescimento dentro da empresa.;negativo
Bom salário com ótimos benefícios.;positivo
"Posso compartilhar diversos aspectos negativos, como:  Ausência de transparência da alta direção. Semanalmente a direção para a empresa para reunião com o intuito de atualizar os colaboradores quanto a estratégias, caminhos e etc. Em nenhum momento foi mencionado aspectos negativos que fosse para alertar os colaboradores antes do layoff, desamparando diversas famílias;  Mudança de estratégias rotineiras, afetando o desempenho de diversas áreas;  Muito se fala sobre cultura e ser uma empresa humanizada, totalmente fora da realidade na prática.";negativo
"Ótimos benefícios como: licença paternidade de 6 meses, plano de saúde sem coparticipação, previdência privada com coparticipação da empresa; Liberdade técnica; Facilidade de acessão.";positivo
"Distância do clevel do dia a dia das squads; Desorganização dos processos internos.";negativo
Anywhere Office  100% Remoto Bom para Devs;positivo
Depende das vontade do dono, não tem políticas e objetivos bem definidos. Se alguém amigo do dono pede, a empresa faz. Time de comunicação interna é péssimo e sempre erra a mão.;negativo
Trabalho remoto. Flexibilidade. Investimentos em desenvolvimento profissional.;positivo
Constantes problemas de acesso que atrapalham muito o trabalho;negativo
Os salários ERAM bons, benefícios são condizentes com o mercado... FOI uma ótima empresa para trabalhar. Até o final de 2021. Até o dia em que aconteceu a fusão Dock ~ Conductor, e a alta liderança não sabia mais para onde estava indo. Entrei em uma empresa, saí de um lugar que, aparentemente... Manteve apenas o mesmo nome.;positivo
