Comentário;Sentimento
 melhor plano de saúde do mercado  cultura tranquila de entregas  onboarding sem pressa  flexibilidade  stocks  bonus anual  remoto 100%  incentivo a treinamentos e certificações  projetos inspiradores;positivo
 base salarial mediana, tem muitas empresas pagando mais pra esse tipo de perfil de funcionário  muito difícil de se localizar no começo devido a escala da empresa;negativo
Bom espaço para aprendizado e grande horizonte de possibilidades de atuação.;positivo
Complexidade, burocracia, mudanças confusas e estratégia um pouco confusa em algumas áreas.;negativo
empresa dos sonhos. venham trabalhar aqui.;positivo
nenhum prós. empresa perfeita, juro;negativo
Muito bom trabalhar nessa empresa;positivo
Nenhum ponto contra a empresa;negativo
Desenvolvimento de carreira, inovação, posicionamento no mercado, diversidade e inclusão;positivo
Como é uma empresa muito grande, existe oportunidade para simplificação de processos;negativo
A cultura da empresa é muito boa, acesso a cursos e boas oportunidades de crescimento. Salário acima do mercado local, vários benefícios legais.;positivo
A cultura pode variar bastante, depende muito do perfil do seu manager direto lideranças mais proximas. As vezes é difícil encontrar as pessoas e documentação que te desbloqueiam em algumas tarefas. Muitas vezes a documentação é precária e ninguém sabe nada sobre processos, dados, etc. Falta um pouco de ownership muitas vezes. No momento o ambiente está bem incerto devido a layoffs e não há clareza sobre como isso está sendo feito, infelizmente.;negativo
10 Dias livres adicionais por ano Trabalho híbrido Aprendizado contínuo;positivo
Falta de autonomia para decisões;negativo
Um dos meus maiores arrependimentos foi de ter decidido sair para outra Big Tech.;positivo
Não há que desabone essa empresa.;negativo
Incentivo de estudos Bom salário Home Office;positivo
As vezes muito fechada para novas ideias;negativo
Oportunidades e crescimento de carreira.;positivo
Mudanças dos ultimos tempos na AI.;negativo
Cultura, benefícios, flexibilidade de verdade;positivo
Oportunidades de carreira levam algum tempo;negativo
benefícios como plano de saúde e bonus;positivo
Aumento salarial bem restrito, mudar de área não é tão simples;negativo
Só coisa boa Trabalho bom;positivo
Nem Uma coisa ruim Nada ruim;negativo
Gentis, honestos, atenciosos, energéticos e justos.;positivo
Não tenho dó que reclamar.;negativo
Benefícios e cultura da empresa;positivo
Diferença de fuso horário entre Brasil e a sede em Seattle;negativo
Tudo foi perfeito, exelente local para se trabalhar.;positivo
Não tenho nenhum ponto negativo ,sobre eles.;negativo
Benefícios bons e bom ambiente;positivo
Não tem o que falar de ruim;negativo
Muitos benefícios  transporte coberto pela empresa, alimentação, plano de saúde, até manicure dentro do escritório tem.;positivo
Alto nível de cobrança e stress.;negativo
O ótimo salário,os dias de folga.;positivo
Nenhum ponto negativo, sobre minha ex empresa.;negativo
Empresa incrível para se trabalhar;positivo
Nada a adicionar. Empresa incrível;negativo
"Possibilidade de crescimento; novas tecnologias; mobilidade global";positivo
Trabalho intenso, para alta performamce;negativo
Grande multinational, que permite aos colaboradores uma constante actualização, e crescimemento profissional;positivo
Muita burocracia quando se trata de alguns temas.;negativo
A empresa proporciona muito aprendizado;positivo
Liderança sem compromisso com o time, sem compromisso com os clientes e programas de diversidade e inclusão totalmente deturpado.;negativo
Salario fixo Auxilio deslocamento Celular linha telefonica Notebook;positivo
Plano de saude com coparticipação alta Instabilidade no trabalho Falta de preparo para um layoff desrespeito com o funcionário no momento do layoff;negativo
Empresa maravilhosa, otima gestao e clima organizacional;positivo
Os beneficios para terceirizados poderiam ser mais proximos aos dos colaboradores;negativo
Even though the code is full of bugs, there are never any repercussions for programmers.;positivo
There are never any repercussions for programmers even though the code is full of bugs.;negativo
Empresa super confiável e transparente, você pode ter certeza que serão justos contigo. Se trabalhar homeoffice te dão ajuda para compra de periféricos, você recebe verba pra compra de celular, financeiramente está linhado com as outras big techs dando refill de stocks, bonus anual, hiring bonus, hiring stocks, seguro saúde, seguro adicional de seguro saúde para despesas extras e ticket refeição justo. Na parte de wellbeing tem vários benefícios bem bacanas.;positivo
O onboarding é meio bagunçado e por vezes você fica meio perdido. Mas no geral é okay.;negativo
Excelente Empresa, Muitos Desafios e Oportunidades;positivo
nada, nada, nada, nada e Nada;negativo
Benefícios Salário Ações Bonus Crescimento;positivo
Não achei nenhum problema até o momento.;negativo
Paga bem, boa cultura e tem flexibilidade completa. Tanto de horário quando geográfica.;positivo
A burocracia necessária para começar é enorme, e a quantidade de informações dificulta o rampup.;negativo
Felexibilidade de horário. Otimos colegas de trabalho. Plano de Previdencia. Treinamentos. TOP!;positivo
A empresa tem muitos processos administrativos. Esses processos dificutam o pensamento fora da caixa. Um profissional dinamico e experiente se vê engolido por esses processos e acaba entregando apenas 25% da sua capacidade.;negativo
É uma empresa muito boa;positivo
N tem contras, é boa;negativo
"Excelente perspectiva de crescimento se você pretende ir para fora; contato com pessoas incríveis pessoal e tecnicamente; Potencial contato com tecnologia de ponta; viés explorador (se você se dá bem vasculhando e aprendendo sozinho, vai se encaixar bem)";positivo
"Plano de saúde quase irrelevante fora de SP capital; Poucos benefícios se comparado com outras empresas do ramo; Vale refeição na média e com coparticipação de 20%; Sign in bonus é mais uma algema que um bônus; Difícil mobilidade interna; pouco viés de equipe (se você precisa de um trabalho em equipe, pessoas dispostas a ensinar e aprende na prática, vai ter trabalho); liderança não humana; rh descentralizado ineficiente (usa uma ferramenta interna com RH terceirizado que funciona muito mal para residentes do Brasil, o que desencoraja procurar apoio); sem política de documentação, pair programming e compartilhamento de conhecimento (se quer aprender com alguém, boa sorte)";negativo
aconchegante um bom lugar de trabalho;positivo
muita cobrança encima de novatos;negativo
O ambiente de trabalho é acolhedor e leve.;positivo
É uma empresa que visa sempre a evolução e ouve os funcionarios então não tenho nada a reclamar.;negativo
Bom salário, pessoas boas e boa preocupação com os colaboradores;positivo
não tem contras nenhum, é tudo ótimo;negativo
Muito boa a oportunidade e o salário;positivo
Poucas vagas e trabalho muito;negativo
Tem ótimos benefícios, plano de carreira bem definido, um bom salário para cada nível.;positivo
Não faça a entrevista sem ter outras em andamento. A negociação com base em outras propostas é primordial. Ela pode te fazer entrar como senior mesmo não tendo experiência como senior, e entrar como junior mesmo tendo experiência de senior.;negativo
ambiente muito receptivo e equipe nota 100;positivo
não tenho nada a reclamar;negativo
Funcionarios colaborativos, aprendizado e performance;positivo
Dificuldade com os termos porem existe um glossario para consulta;negativo
Ambiente de trabalho e benefícios bem acima do padrão de mercado.;positivo
Muita politicagem e oba oba para trabalho que sao simples e básico.;negativo
Empresa excelente, com grandes profissionais.;positivo
Não gostei de alguns processos.;negativo
bom, capacidade, amor a profissão;positivo
pedem muito do funcionario de trabalho;negativo
Worklife balance, cultura, flexibilidade, honestidade;positivo
Excesso de foco em contratação de minorias, atualmente baixando nível das contratações;negativo
uma das melhores empresas no Brasil;positivo
pela exigência deveria pagar mais;negativo
Empresa mundialmente conhecida, ótimos benefícios, ambiente muito bom, entre outros;positivo
Apenas pros contra a empresa;negativo
good company to work for;positivo
good company to work for and not to complain;negativo
Muito boa Paga em dia;positivo
Não há do que reclamar;negativo
Bom ambiente com pessoas experientes;positivo
quantiade pouca de beneficios para o contribuidor;negativo
Lugar muito bom de se trabalhar;positivo
Nenhuma observação contra a empresa;negativo
Oportunidade de crescimento, flexibilidade, ambiente agradável com pessoas agradáveis e diversos programas de benefícios;positivo
Em quase 6 meses ainda não notei um ponto negativo, obviamente não é um mundo perfeito mas nada alem do comum que se encontra em outras empresas do mesmo porte;negativo
Muito nos pessoas e ambiente;positivo
Pouca autonomia local para criacao;negativo
Rotatividade, destaque, mercado, remuneração, aprendizado;positivo
Exigências, exclusividade, competências, inglês e espanhol;negativo
Empresa muito boa de se trabalhar;positivo
Até o momento não consegui um ponto negativo;negativo
bom espaço para o trabalho;positivo
muitas pessoas chatas e baixo salario;negativo
Muito bom, ótima empresa, ótimo sálario.;positivo
Não tenho nada para reclamar da empresa.;negativo
Muitos benefícios pro funcionário. Realmente se importam com a qualidade de vida. Cultura que valoriza as opiniões das pessoas e diversidade.;positivo
Alguns processos internos um pouco demorados demais.;negativo
Versatilidade e disponibilidade home office.;positivo
Setor que parece não ser muito prezado pela empresa.;negativo
Respect individuals, you have voice, and you are heard, you are empowered to perform your best, great team, customer centricity;positivo
Nothing against MS, very the opposite;negativo
A Microsoft é uma boa empresa;positivo
Os processos internos são muito burocráticos;negativo
Vários benefícios, bom plano de saúde e bonificação de ações;positivo
Escritório Brasil é bem voltado para vendas, cargos mais técnicos acabam se reportando para fora;negativo
Equipe prestativa e muito companheira, ótimo campo de trabalho;positivo
Carga horária elevada porém com muita hospedagem;negativo
Diversidade dentro dos Times, ótimo ambiente de trabalho e conexões. Trabalho flexível;positivo
Ainda com muitos processos e regras da Matriz que dificultam na aceleração e suporte aos Parceiros e clientes;negativo
Liberdade, oportunidades de desenvolvimento, um ambiente de aprendizado;positivo
Até agora não encontrei nenhum. Talvez benefícios poderiam ser melhores;negativo
Pessoas muito profissionais, inteligentes, experientes;positivo
Nenhum comentário a ser feito;negativo
Ambiente diverso, cheio de beneficios;positivo
excesso de trabalho, em alguns momentos dificulta o work life balance;negativo
Escritório muito bonitos e boa estrutura;positivo
Trabalha demais, é um pouco cansativo;negativo
As pessoas são muito abertas e receptivas, se preocupam com seu bem estar, tem vários grupos de diversidade , de sustentabilidade e outras coisas. Acesso a excelentes ferramentas para estudo. Plano de cargo e salário muito bem descrito.;positivo
Até agora a unica coisa que achei baixo em comparação com outras empresas foi o valor do VR.;negativo
Tudo é como esperado e maravilhoso;positivo
Nada a reclamar ou denegrir melhor empresa;negativo
muito bom mesmo bastante legal;positivo
alguns pontos ruins que podem ser considerados;negativo
Salário, bonificações, benefícios, programas de capacitação;positivo
Política interna, processos muito burocráticos,;negativo
qualidade inovação crescimento objetivo carrera;positivo
nada nada nada nada nada;negativo
100% melhor empresa para se trabalhar;positivo
Sem o que falar da empresa;negativo
horário flexível boa comunicacao entre chefe e funcionario;positivo
horario de almoco muito pequeno e rapido;negativo
Ótima empresa, bons salarios e beneficios.;positivo
A Microsoft Research é bem flexivel e diversa. Isso involve diferentes estilos de trabalho, entao eh possivel que a experiencia de trabalhar em algumas equipes seja melhor ou pior que outras.;negativo
Muito boa, legal , pessoas gentis , salário bom;positivo
Não tem, não tem ,não tem , não tem ,não;negativo
Salário, benefícios é só o que vejo de bom.;positivo
Carga de trabalho desumana. Muita pressão.;negativo
The company is active in many different fields, which allows a lot of learning and potential career paths. There are multiple opportunities to try new things and get a shot at having larger impact. Quality of life and benefits are also great, and executives and managers are mostly nice people.;positivo
One often ends up working in minute details of very specific features, which can feel rather alienating. Project management could improve a lot. And there's also too much leftwing American politics being pushed to employees.;negativo
Plano de saúde com bons hospitais;positivo
Plano de saúde com coparticipação;negativo
Bons benefícios e salarios são fornecidos;positivo
Muitas horas de trabalho exigidos além do horário;negativo
Empresas sensacional de se trabalhar recomendo muito;positivo
A locomoção para ir ao local de trabalho fora isso;negativo
São compreensíveis, competentes, proativos, dedicados e responsáveis.;positivo
Falta com a comunicação, falta de incentivo, pouca motivação no ambiente.;negativo
Produtividade ótima e boa qualidade de produtos;positivo
Prestar suporte aos clientes .;negativo
Cultura da empresa e processos.;positivo
Não tenho algo que possa dizer contra a empresa;negativo
Bons benefícios, tirando a parte da consultoria empresa atua da mesma forma em todo mundo.;positivo
qualidade de vida, competição interna não cria times, consultoria tem gerentes de pessoas ruins, gerentes de fora do pais nao entendem a cultura principalmente latam;negativo
ótimo ambiente, excelente a trabalhar;positivo
nada a declarar, vamos à obra;negativo
muito bom recomendo a todos;positivo
nenhum contra no momento atual;negativo
Melhor empresa, te permite causar muito impacto;positivo
Poderia ter melhores salários e benefícios;negativo
Cultura de crescimento, inclusão, aprendizado, colaboração. Salário e benefícios excelentes.;positivo
Volume de trabalho é grande, responsabilidade grande.;negativo
Exposição no mercado, flexibilidade de locais e horários de trabalho e plano de saúde.;positivo
Processos de políticas de avaliação de performance subjetivas que impactam nos bônus anuais, alta rotatividade das posições de liderança, competitividade desnecessária entre as áreas internas e falta da sensação de pertencimento.;negativo
Incredible work environment, hybrid work, and balance work and personal life;positivo
some meeting out of business hour;negativo
The company has excellent benefits and salaries, treats employees very well and enables internal growth.;positivo
The work model in the sales team is a bit complex and makes interaction very difficult. I believe that salespeople need to be more dynamic and have technical knowledge.;negativo
Salário e benefícios. Não vejo mais nada de bom.;positivo
Qualidade de vida, pressão, carga de trabalho desumana.;negativo
Excelente empresa, padroes globais de enterprise and envolviment.;positivo
Nada, tudo de bom. Excelente empresa;negativo
Empresa versátil e muito desafiante;positivo
A localização podia ser melhor;negativo
Muitos programas de mentoria e planejamento.;positivo
Muito falado, porém não muito acessível a desenvolvimento real.;negativo
boa disponibilidade de carga horaria;positivo
falta de flexibilidade em realação a possiveis ideias;negativo
cultura, clima organizacional, ótimo ambiente, otimas oportunidades de cerscimento profissional;positivo
Alguns benefícios poderiam ser melhores;negativo
O salário é alto, a empresa tem muita diversidade dos trabalhos que podem ser feitos, é uma empresa especializada, sem contar a experiência de trabalhar com grandes pessoas e aprender.;positivo
É muita burocracia e politica. As vezes tem projetos que ficam estagnados por mais que tenha uma grande equipe trabalhando no projeto.;negativo
Focado no crescimento do seus funcionários.;positivo
Metas de sucesso exageradas durante o ano;negativo
Bom ambiente de trabalho, salario compatível com o mercado de trabalho;positivo
Prazos de projetos agressivos, as vezes é difícil manter a sanidade mental;negativo
Muito legal o servico la;positivo
Nao tem nenhum contra nao;negativo
Benefícios são excelentes e as amizades dentro da companhia;positivo
Não tenho do que dizer;negativo
Bons benefícios, bom clima de trabalho, chance de crescimento;positivo
Nenhum contra até o momento;negativo
Otima empresa e ambiente. Ambiente de aprendizado;positivo
Dificuldade para adaptar iniciativas e programas de desenvolvimento de mercados criados na matriz para o cenário brasileiro.Carga de trabalho desafiadora que dificulta o balanceamento da vida pessoal e profissional.;negativo
Beneficios, salario, plano de saude, carreira;positivo
Pressao por vendas, carga horaria;negativo
Tem excelentes beneficios e proporciona um ambiente harmonioso de trabalho.;positivo
até o momento sem contras;negativo
Empresa boa para trabalhar ok;positivo
Empresa com desafios como qualquer outra;negativo
Ambiente muito bom, alto salário;positivo
Dificuldade do fuso horário no trabalho remoto;negativo
Uma empresa dinâmica e de grande prestígio;positivo
Trabalho incessantes e alta concorrência interna;negativo
Ótima empresa com foco nos objetivos.;positivo
Foco e determinação nas entregas;negativo
Cursos, salário, pessoas, ambiente e empresas;positivo
Pressão, presa, pessoas, extramile e parceiro;negativo
Ótima empresa, ambiente descontraído, foco em resultado;positivo
Nada a reclamar, empresa muito social;negativo
A empresa oferece um excelente plano de saúde (coparticipativo) e boas condições de trabalho no geral.;positivo
A empresa não oferece salários competitivos, os programas de desenvolvimento de carreira são apenas uma formalidade e os processos de avaliação de performance não estão adequados a realidade de cada posição.;negativo
Empresa muito boa, bom lugar para aprender;positivo
Não tenho nada contra a empresa.;negativo
Bom salario otima gestao e colegas;positivo
Dificil de crescer na empresa por ser bem grande;negativo
Muito bom para crescimento, excelente empresa;positivo
Cobranças do supervisor excessivas, fora isso é otima;negativo
10/10 trabalharia lá denovo, empresa muito boa;positivo
Nada, empresa muito perfeita, nota 10;negativo
ótimo benefício e salários. ótimo convívio;positivo
Sem contras, ótima empresa no que faz.;negativo
Os Beneficios são muito bons;positivo
A Cultura e bastante competitiva;negativo
Boa empresa para se estar;positivo
Nada em quem dizer isto;negativo
Microsoft é a melhor empresa para o cliente e funcionário que existe atualmente.;positivo
Ainda existe muita gente que vive com a cultura da antiga Microsoft.;negativo
Otimo Novo Enriquecedor Boa equipe Ótima escolha Experiência;positivo
Nao possuo nenhum contra para a empresa, foi tudo ótimo;negativo
paga bem paga bem paga bem;positivo
trabalha demais o tempo todo;negativo
Ambiente tranquilo, sem problema com a equipe, com folgas;positivo
o chefe é chato, não ouve;negativo
Salário acima da média de mercado, bons benefícios e muitas oportunidades de crescimento no Brasil e fora;positivo
Excesso de processos e burocracia devido ao tamanho da empresa;negativo
Acesso a tecnologia de ponta e colegas de trabalho com capacidade técnica, preparados academicamente, com bagagem de trabalho e éticos;positivo
qualidade de vida pode ficar prejudicada uma vez que funcionários comprometidos acabam trabalhando muito mais do que o expediente normal e dedicandose demais a empresa.;negativo
Pacote de beneficios extraordinários, como cartão corporativo, bonus entre outros;positivo
Muita pressão, para um estudo continuo....;negativo
Em minha opinião, tudo. Gosto do ambiente, pessoal, salário e benefícios;positivo
Não tenho nenhum contra com esta empresa;negativo
Qualidade de Atendimento Plano de Carreira;positivo
Nenhum até agora Só coisas Boas;negativo
Ótima empresa para trabalhar remotamente;positivo
Processos complexos e pouco investimento na carreira;negativo
E verdade de ser uma boa empresa;positivo
Exigente e muito cansativo ok?;negativo
Empresa com boa possibilidade de crescimento, contato com time global.;positivo
Rotina de cobrança pode ser um pouco estressante, sensação de sempre dever algo.;negativo
CLima, beneficios, conhecimento e salario;positivo
Muita gente, muito operacional e burocrático as vezes;negativo
Empresa surpreendente a cada dia que trabalho lá, tanto em desafios, quanto a beneficios. É um sonho sendo realizado trabalhar na Microsoft;positivo
Como estou recentemente, ainda não tenho pontos.;negativo
Mentalidade de crescimento, aqui a microsoft não quer saber o que você sabe, mais sim o que você quer e pode aprender junto com os demais colaboradores.;positivo
O processos internos são um pouco divulgados;negativo
Preocupação real com as pessoas;positivo
Nada relevante que valha destacar;negativo
Bons treinamentos e boa remuneração;positivo
Entrega de resultados, muita cobrança;negativo
Tecnologia Inovação Inclusão Diversidade Acesso a conteudo;positivo
Estrutura do RH Benefícios Poucos recursos disponíveis;negativo
Fornece excelente pacote de Beneficios;positivo
Não vejo contras para trabalhar nesta empresa;negativo
Ambiente internacional. Oportunidades de aprendizado. Benefícios atrativos. Bônus e participação em Stock options;positivo
Não é bem um contra mas uma mudança necessária. Por estar em Seattle, a diferença de fuso acaba sendo grande. Você acaba tendo que fazer o shift de seu horário de trabalho.;negativo
Cultura exemplar com oportunidade de impacto para os colaboradores. Melhorando worklife balance.;positivo
Empresa enxuta, com oportunidades reduzidas de crescimento.;negativo
é uma boa empresa para se trabalhar.;positivo
nenhum por enquanto, desde quando comecei.;negativo
Benefícios, ambiente de trabalho, carreira e aprendizado.;positivo
Não há nenhum ponto negativo.;negativo
pessoas, beneficios, escopo de trabalho;positivo
acredito que a burocracia, processos, compliance que as vezes engessa efetividade;negativo
energia muito positiva e chefes super legais;positivo
funcionarios preguiçosos e nao determinados;negativo
Empresa com diversificação de negócios e foco em venda para grandes organizações;positivo
Falta de equilíbrio em horas de trabalho e vida pessoal.;negativo
Remuneração, ambiente, colegas interessados e infraestrutura;positivo
Burocracia, a parte de inclusão é um pouco chata;negativo
Flexibilidade, benefícios, desafios, cultura, inclusão;positivo
Incentivos podiam ser mais agressivos;negativo
Ambiente incrível para todas as pessoas;positivo
Na minha visão não há contras;negativo
Empresa preocupada com os funcionários e muito boa de se trabalhar;positivo
Adorei trabalhar na Microsoft, não tenho nada contra a dizer.;negativo
Bons benefícios e bom salário;positivo
Até agora não tenham nenhum contra a indicar;negativo
Excelente, uma grande empresa para se trabalhar;positivo
Não tenho nada ruim para falar;negativo
Além de ser uma excelente empresa com Growth Mindset, essa é uma empresa que da apoio e insumos para o crescimento profissional.;positivo
O crescimento dentro da empresa pode ser um pouco lento.;negativo
Excelente empresa e ótimos benefícios;positivo
São poucos! Mas diria que quantidade de trabalho (nada exagerado);negativo
Ótimo ambiente de trabalho, é muito dinâmico e proporciona muito aprendizado;positivo
Nada por enquanto, talvez só os plantões;negativo
Muito bom ambiente de trabalho;positivo
Home Office na pandemia dificulta integração com o time, mas não é culpa da empresa;negativo
Empresa multinacional, onde podemos colaborar entre funcionários de vários países;positivo
Muito complexa, e pouca autonomia.;negativo
Executar rotinas gerenciais e navegar por vários setores tecnológicos;positivo
nenhum a visualizar ao longo de toda a trajetória;negativo
muito bom mesmo bom lugar;positivo
não há é perfeito eu amo;negativo
Bons salários e benefícios, ainda em desenvolvimento na pandemia;positivo
Muito difícil o crescimento e realocacao para outras vagas. Comum as pessoas saírem e depois retornarem em cargos maiores;negativo
